"id","lineID","entryGroupID","type","status"
"570","1391","528","Siedl.","ok"
"571","1393","529","Siedl.","ok"
"572","1396","530","Siedl.","ok"
"573","1399","531","Siedl.","ok"
"574","1402","532","Siedl.","ok"
"575","1404","533","Siedl.","ok"
"576","1406","534","Lands.","ok"
"577","1409","535","Gewäs.","ok"
"578","1411","536","Siedl.","ok"
"579","1413","537","Siedl.","ok"
"580","1415","538","Siedl.","ok"
"581","1417","539","Siedl.","ok"
"582","1419","540","Siedl.","ok"
"583","1422","541","Siedl.","ok"
"584","1425","542","Siedl.","ok"
"585","1428","543","Admin.","ok"
"586","1430","544","Siedl.","ok"
"587","1432","545","Siedl.","ok"
"588","1434","546","Siedl.","ok"
"589","1436","547","Siedl.","ok"
"590","1438","548","Siedl.","ok"
"591","1441","549","Siedl.","ok"
"592","1444","550","Siedl.","ok"
"593","1447","551","Admin.","ok"
"594","1449","552","Siedl.","ok"
"595","1451","553","Siedl.","ok"
"596","1454","554","Siedl.","ok"
"597","1456","555","Siedl.","ok"
"598","1459","556","Siedl.","ok"
"599","1462","557","Siedl.","ok"
"600","1465","558","Siedl.","ok"
"601","1467","559","Siedl.","ok"
"602","1469","560","Siedl.","ok"
"603","1472","561","Siedl.","ok"
"604","1474","562","Siedl.","ok"
"605","1476","563","Siedl.","ok"
"606","1478","564","Siedl.","ok"
"607","1480","565","Siedl.","ok"
"608","1482","566","Siedl.","ok"
"609","1484","567","Siedl.","ok"
"610","1486","568","Siedl.","ok"
"611","1488","569","Lands.","ok"
"612","1490","570","Siedl.","ok"
"613","1492","571","Siedl.","ok"
"614","1494","572","Siedl.","ok"
"615","1496","573","Siedl.","ok"
"616","1498","574","Siedl.","ok"
"617","1501","575","Siedl.","ok"
"618","1503","576","Siedl.","ok"
"619","1505","577","Siedl.","ok"
"620","1507","578","Siedl.","ok"
"621","1509","579","Siedl.","ok"
"622","1511","580","Siedl.","ok"
"623","1514","581","Siedl.","ok"
"624","1516","582","Siedl.","ok"
"625","1518","583","Siedl.","ok"
"626","1521","584","Siedl.","ok"
"627","1524","585","Siedl.","ok"
"628","1526","586","Siedl.","ok"
"629","1529","587","Siedl.","ok"
"630","1532","588","Admin.","ok"
"631","1534","589","Siedl.","ok"
"632","1538","590","Siedl.","ok"
"633","1540","591","Siedl.","ok"
"634","1542","592","Siedl.","ok"
"635","1544","593","Siedl.","ok"
"636","1546","594","Siedl.","ok"
"637","1549","595","Siedl.","ok"
"638","1551","596","Siedl.","ok"
"639","1555","597","Siedl.","ok"
"640","1558","598","Siedl.","ok"
"641","1561","599","Siedl.","ok"
"642","1563","600","Siedl.","ok"
"643","1566","601","Siedl.","ok"
"644","1569","602","Siedl.","ok"
"645","1572","603","Siedl.","ok"
"646","1575","604","Siedl.","ok"
"647","1578","605","Siedl.","ok"
"648","1581","606","Siedl.","ok"
"649","1583","607","Siedl.","ok"
"650","1585","608","Siedl.","ok"
"651","1587","609","Siedl.","ok"
"652","1590","610","Lands.","ok"
"653","1591","611","Siedl.","ok"
"654","1593","612","Siedl.","ok"
"655","1594","613","Siedl.","ok"
"656","1598","614","Siedl.","ok"
"657","1601","615","Siedl.","ok"
"658","1602","616","Siedl.","ok"
"659","1603","617","Siedl.","ok"
"660","1606","618","Siedl.","ok"
"661","1609","619","Siedl.","ok"
"662","1611","620","Siedl.","ok"
"663","1614","621","Siedl.","ok"
"664","1616","622","Siedl.","ok"
"665","1619","623","Siedl.","ok"
"666","1623","624","Siedl.","ok"
"667","1626","625","Siedl.","ok"
"668","1628","626","Lands.","ok"
"669","1630","627","Siedl.","ok"
"670","1632","628","Lands.","ok"
"671","1634","629","Gewäs.","ok"
"672","1636","630","Siedl.","ok"
"673","1638","631","Siedl.","ok"
"674","1640","632","Siedl.","ok"
"675","1643","633","Siedl.","ok"
"676","1645","634","Siedl.","ok"
"677","1648","635","Siedl.","ok"
"678","1650","636","Siedl.","ok"
"679","1653","637","Siedl.","ok"
"680","1656","638","Siedl.","ok"
"681","1659","639","Siedl.","ok"
"682","1662","640","Siedl.","ok"
"683","1665","641","Siedl.","ok"
"684","1668","642","Siedl.","ok"
"685","1671","643","Siedl.","ok"
"686","1673","644","Siedl.","ok"
"687","1675","645","Siedl.","ok"
"688","1679","646","Siedl.","ok"
"689","1682","647","Siedl.","ok"
"690","1684","648","Siedl.","ok"
"691","1686","649","Siedl.","ok"
"692","1689","650","Siedl.","ok"
"693","1692","651","Siedl.","ok"
"694","1696","652","Siedl.","ok"
"695","1698","652","Weg","ok"
"696","1699","653","Siedl.","ok"
"697","1702","654","Siedl.","ok"
"698","1704","655","Siedl.","ok"
"699","1707","656","Siedl.","ok"
"700","1710","657","Siedl.","ok"
"701","1713","658","Siedl.","ok"
"702","1717","659","Siedl.","ok"
"703","1720","660","Siedl.","ok"
"704","1723","661","Siedl.","ok"
"705","1725","662","Siedl.","ok"
"706","1727","663","Siedl.","ok"
"707","1730","664","Siedl.","ok"
"708","1732","665","Siedl.","ok"
"709","1734","666","Siedl.","ok"
"710","1737","667","Siedl.","ok"
"711","1739","667","Siedl.","ok"
"712","1742","668","Siedl.","ok"
"713","1743","669","Siedl.","ok"
"714","1745","670","Admin.","ok"
"715","1747","671","Siedl.","ok"
"716","1750","672","Siedl.","ok"
"717","1752","673","Siedl.","ok"
"718","1754","674","Siedl.","ok"
"719","1757","675","Siedl.","ok"
"720","1759","676","Siedl.","ok"
"721","1761","677","Siedl.","ok"
"722","1763","678","Siedl.","ok"
"723","1766","679","Siedl.","ok"
"724","1769","680","Siedl.","ok"
"725","1772","681","Siedl.","ok"
"726","1774","682","Siedl.","ok"
"727","1776","683","Siedl.","ok"
"728","1778","684","Siedl.","ok"
"729","1780","685","Siedl.","ok"
"730","1782","686","Lands.","ok"
"731","1784","687","Siedl.","ok"
"732","1786","688","Siedl.","ok"
"733","1788","689","Siedl.","ok"
"734","1790","690","Siedl.","ok"
"735","1793","691","Siedl.","ok"
"736","1796","692","Admin.","ok"
"737","1799","693","Siedl.","ok"
"738","1802","694","Siedl.","ok"
"739","1806","695","Admin.","ok"
"740","1809","696","Siedl.","ok"
"741","1813","697","Admin.","ok"
"742","1816","698","Siedl.","ok"
"743","1819","699","Siedl.","ok"
"744","1822","699","Admin.","ok"
"745","1825","700","Siedl.","ok"
"746","1827","701","Siedl.","ok"
"747","1829","702","Siedl.","ok"
"748","1831","703","Siedl.","ok"
"749","1833","704","Siedl.","ok"
"750","1835","705","Siedl.","ok"
"751","1837","706","Siedl.","ok"
"752","1839","707","Siedl.","ok"
"753","1841","708","Siedl.","ok"
"754","1843","709","Siedl.","ok"
"755","1846","710","Siedl.","ok"
"756","1850","711","Admin.","ok"
"757","1853","712","Siedl.","ok"
"758","1856","713","Siedl.","ok"
"759","1859","714","Siedl.","ok"
"760","1862","715","Siedl.","ok"
"761","1864","716","Siedl.","ok"
"762","1866","717","Siedl.","ok"
"763","1869","718","Siedl.","ok"
"764","1872","719","Siedl.","ok"
"765","1874","720","Siedl.","ok"
"766","1876","721","Siedl.","ok"
